,title,company,salary,rating,summary,post_date
0,Data Scientist - Data Cycling Center,TikTok,Undisclosed,None,Liaise with team members and management in understanding their data needs and providing data support.Understand underlying data sources and their limitations.,16 days ago
1,Junior Data Scientist (Fresh Graduates welcomed),AkiraKan Limited,"RM 15,000 a month",None,"You will work with other data scientists, data engineers, machine learning engineers, designers and project managers on interdisciplinary projects using maths,…",9 days ago
2,Sr/Data Scientist,Nexperia Germany GmbH,Undisclosed,None,"Identify key users and train them to create more data scientists in the factory over time.Strong skill in data mining, data wrangling techniques for creating…",30+ days ago
3,Meteorologist/ Meteorological Data Scientist,AkiraKan Limited,"RM 15,000 a month",None,"You will work with experienced meteorologists, data scientists, data engineers, machine learning engineers, and project managers to improve next generation…",9 days ago
4,Data Scientist — Machine Learning across FMCG Industries.,J Recruit Recruitment Firm,"RM 6,000 - RM 10,000 a month",None,Verifying data quality OR ensuring it via data cleaning.Supervising the data acquisition process whenever more data is needed.Temporarily due to COVID-19.,25 days ago
5,Meteorologist/ Meteorological Data Scientist,AkiraKan (Marine Technology) Sdn Bhd,"RM 3,500 a month",None,"You will work with experienced meteorologists, data scientists, data engineers, machine learning engineers, and project managers to improve next generation…",30+ days ago
6,Data Analyst / Data Scientist,Intrinsik Technologies Sdn Bhd,Undisclosed,None,"As a data analyst, you will be responsible for compiling actionable insights from data and assisting program, sales and marketing managers build data-driven…",30+ days ago
7,Graduate Environmental Scientist,Jacobs,Undisclosed,3.9,"Field observations and data collection assignments and assists in the collection and analysis of data from sampling, reports, maps, drawings, tests and aerial…",16 days ago
8,Data Scientist,BASF Asia Pacific,Undisclosed,4.1,Develop custom data models and algorithms to apply to data sets.Assess the effectiveness and accuracy of new data sources and data gathering techniques.,30+ days ago
9,Data Scientist,AirAsia,Undisclosed,4.2,"Exploratory analysis: use data to suggest and prove hypotheses.Data operations: query data, deploy models and automate pipelines in cloud.",30+ days ago
10,Data Scientist,Telenor,Undisclosed,None,Experience with large data sets and knowledge of both structured and unstructured data.Combine and analyze multiple sources of data including first party and…,30+ days ago
11,Data Scientist,RPS Group,Undisclosed,None,"Develop data processing, data management, report production, visualization and analyses solutions.You will identify what data is available and relevant,…",10 days ago
12,Meteorologist/ Meteorological Data Scientist,AkiraKan Limited,"RM 15,000 a month",None,"You will work with experienced meteorologists, data scientists, data engineers, machine learning engineers, and project managers to improve next generation…",9 days ago
13,Junior Data Scientist (Fresh Graduates welcomed),AkiraKan Limited,"RM 15,000 a month",None,"You will work with other data scientists, data engineers, machine learning engineers, designers and project managers on interdisciplinary projects using maths,…",9 days ago
14,Meteorologist/ Meteorological Data Scientist,AkiraKan (Marine Technology) Sdn Bhd,"RM 3,500 a month",None,"You will work with experienced meteorologists, data scientists, data engineers, machine learning engineers, and project managers to improve next generation…",30+ days ago
15,Graduate Environmental Scientist,Jacobs,Undisclosed,3.9,"Field observations and data collection assignments and assists in the collection and analysis of data from sampling, reports, maps, drawings, tests and aerial…",16 days ago
16,Data Scientist - Data Cycling Center,TikTok,Undisclosed,None,Liaise with team members and management in understanding their data needs and providing data support.Understand underlying data sources and their limitations.,16 days ago
17,Data Scientist,BASF Asia Pacific,Undisclosed,4.1,Develop custom data models and algorithms to apply to data sets.Assess the effectiveness and accuracy of new data sources and data gathering techniques.,30+ days ago
18,Meteorology & AI Researcher/ Atmospheric & Marine Data Analyst,AkiraKan Limited,"RM 15,000 a month",None,"You will work with experienced meteorologists, data scientists, data engineers, machine learning engineers, and project managers to improve next generation…",9 days ago
19,Geomatics Surveyor (Geographic Information System),AkiraKan Limited,"RM 15,000 a month",None,"You will work with other data scientists, data engineers, machine learning engineers, designers and project managers to improve next generation mapping…",9 days ago
20,Data Analyst / Data Scientist,Intrinsik Technologies Sdn Bhd,Undisclosed,None,"As a data analyst, you will be responsible for compiling actionable insights from data and assisting program, sales and marketing managers build data-driven…",30+ days ago
21,Data Scientist,Pulsifi,"RM 8,000 - RM 10,000 a month",None,Working closely with the client facing team and providing data analysis service and consultation regarding data science issues such as experimental design and…,30+ days ago
22,Geomatics Surveyor (Geographic Information System),AkiraKan (Marine Technology) Sdn Bhd,"RM 3,500 a month",None,"You will work with other data scientists, data engineers, machine learning engineers, designers and project managers to improve next generation mapping…",30+ days ago
23,Junior Data Scientist - Risk Intelligence,Hays,Undisclosed,None,"You will contribute to data management programs to ensure the reliability of data across the bank.Solid technical skill of Python, R or C/C++ and data…",30+ days ago
24,Data Scientist - Data Cycling Center,TikTok,Undisclosed,None,Liaise with team members and management in understanding their data needs and providing data support.Understand underlying data sources and their limitations.,16 days ago
25,Junior Data Scientist (Fresh Graduates welcomed),AkiraKan Limited,"RM 15,000 a month",None,"You will work with other data scientists, data engineers, machine learning engineers, designers and project managers on interdisciplinary projects using maths,…",9 days ago
26,Sr/Data Scientist,Nexperia Germany GmbH,Undisclosed,None,"Identify key users and train them to create more data scientists in the factory over time.Strong skill in data mining, data wrangling techniques for creating…",30+ days ago
27,Meteorologist/ Meteorological Data Scientist,AkiraKan Limited,"RM 15,000 a month",None,"You will work with experienced meteorologists, data scientists, data engineers, machine learning engineers, and project managers to improve next generation…",9 days ago
28,Data Scientist — Machine Learning across FMCG Industries.,J Recruit Recruitment Firm,"RM 6,000 - RM 10,000 a month",None,Verifying data quality OR ensuring it via data cleaning.Supervising the data acquisition process whenever more data is needed.Temporarily due to COVID-19.,25 days ago
29,Meteorologist/ Meteorological Data Scientist,AkiraKan (Marine Technology) Sdn Bhd,"RM 3,500 a month",None,"You will work with experienced meteorologists, data scientists, data engineers, machine learning engineers, and project managers to improve next generation…",30+ days ago
30,Data Analyst / Data Scientist,Intrinsik Technologies Sdn Bhd,Undisclosed,None,"As a data analyst, you will be responsible for compiling actionable insights from data and assisting program, sales and marketing managers build data-driven…",30+ days ago
31,Graduate Environmental Scientist,Jacobs,Undisclosed,3.9,"Field observations and data collection assignments and assists in the collection and analysis of data from sampling, reports, maps, drawings, tests and aerial…",16 days ago
32,Data Scientist,BASF Asia Pacific,Undisclosed,4.1,Develop custom data models and algorithms to apply to data sets.Assess the effectiveness and accuracy of new data sources and data gathering techniques.,30+ days ago
33,Data Scientist,AirAsia,Undisclosed,4.2,"Exploratory analysis: use data to suggest and prove hypotheses.Data operations: query data, deploy models and automate pipelines in cloud.",30+ days ago
34,Data Scientist,Telenor,Undisclosed,None,Experience with large data sets and knowledge of both structured and unstructured data.Combine and analyze multiple sources of data including first party and…,30+ days ago
35,Data Scientist,RPS Group,Undisclosed,None,"Develop data processing, data management, report production, visualization and analyses solutions.You will identify what data is available and relevant,…",10 days ago
36,Meteorologist/ Meteorological Data Scientist,AkiraKan Limited,"RM 15,000 a month",None,"You will work with experienced meteorologists, data scientists, data engineers, machine learning engineers, and project managers to improve next generation…",9 days ago
37,Junior Data Scientist (Fresh Graduates welcomed),AkiraKan Limited,"RM 15,000 a month",None,"You will work with other data scientists, data engineers, machine learning engineers, designers and project managers on interdisciplinary projects using maths,…",9 days ago
38,Meteorologist/ Meteorological Data Scientist,AkiraKan (Marine Technology) Sdn Bhd,"RM 3,500 a month",None,"You will work with experienced meteorologists, data scientists, data engineers, machine learning engineers, and project managers to improve next generation…",30+ days ago
39,Graduate Environmental Scientist,Jacobs,Undisclosed,3.9,"Field observations and data collection assignments and assists in the collection and analysis of data from sampling, reports, maps, drawings, tests and aerial…",16 days ago
40,Data Scientist - Data Cycling Center,TikTok,Undisclosed,None,Liaise with team members and management in understanding their data needs and providing data support.Understand underlying data sources and their limitations.,16 days ago
41,Data Scientist,BASF Asia Pacific,Undisclosed,4.1,Develop custom data models and algorithms to apply to data sets.Assess the effectiveness and accuracy of new data sources and data gathering techniques.,30+ days ago
42,Meteorology & AI Researcher/ Atmospheric & Marine Data Analyst,AkiraKan Limited,"RM 15,000 a month",None,"You will work with experienced meteorologists, data scientists, data engineers, machine learning engineers, and project managers to improve next generation…",9 days ago
43,Geomatics Surveyor (Geographic Information System),AkiraKan Limited,"RM 15,000 a month",None,"You will work with other data scientists, data engineers, machine learning engineers, designers and project managers to improve next generation mapping…",9 days ago
44,Data Analyst / Data Scientist,Intrinsik Technologies Sdn Bhd,Undisclosed,None,"As a data analyst, you will be responsible for compiling actionable insights from data and assisting program, sales and marketing managers build data-driven…",30+ days ago
45,Data Scientist,Pulsifi,"RM 8,000 - RM 10,000 a month",None,Working closely with the client facing team and providing data analysis service and consultation regarding data science issues such as experimental design and…,30+ days ago
46,Geomatics Surveyor (Geographic Information System),AkiraKan (Marine Technology) Sdn Bhd,"RM 3,500 a month",None,"You will work with other data scientists, data engineers, machine learning engineers, designers and project managers to improve next generation mapping…",30+ days ago
47,Junior Data Scientist - Risk Intelligence,Hays,Undisclosed,None,"You will contribute to data management programs to ensure the reliability of data across the bank.Solid technical skill of Python, R or C/C++ and data…",30+ days ago
48,Data Scientist - Data Cycling Center,TikTok,Undisclosed,None,Liaise with team members and management in understanding their data needs and providing data support.Understand underlying data sources and their limitations.,16 days ago
49,Junior Data Scientist (Fresh Graduates welcomed),AkiraKan Limited,"RM 15,000 a month",None,"You will work with other data scientists, data engineers, machine learning engineers, designers and project managers on interdisciplinary projects using maths,…",9 days ago
50,Sr/Data Scientist,Nexperia Germany GmbH,Undisclosed,None,"Identify key users and train them to create more data scientists in the factory over time.Strong skill in data mining, data wrangling techniques for creating…",30+ days ago
51,Meteorologist/ Meteorological Data Scientist,AkiraKan Limited,"RM 15,000 a month",None,"You will work with experienced meteorologists, data scientists, data engineers, machine learning engineers, and project managers to improve next generation…",9 days ago
52,Data Scientist — Machine Learning across FMCG Industries.,J Recruit Recruitment Firm,"RM 6,000 - RM 10,000 a month",None,Verifying data quality OR ensuring it via data cleaning.Supervising the data acquisition process whenever more data is needed.Temporarily due to COVID-19.,25 days ago
53,Meteorologist/ Meteorological Data Scientist,AkiraKan (Marine Technology) Sdn Bhd,"RM 3,500 a month",None,"You will work with experienced meteorologists, data scientists, data engineers, machine learning engineers, and project managers to improve next generation…",30+ days ago
54,Data Analyst / Data Scientist,Intrinsik Technologies Sdn Bhd,Undisclosed,None,"As a data analyst, you will be responsible for compiling actionable insights from data and assisting program, sales and marketing managers build data-driven…",30+ days ago
55,Graduate Environmental Scientist,Jacobs,Undisclosed,3.9,"Field observations and data collection assignments and assists in the collection and analysis of data from sampling, reports, maps, drawings, tests and aerial…",16 days ago
56,Data Scientist,BASF Asia Pacific,Undisclosed,4.1,Develop custom data models and algorithms to apply to data sets.Assess the effectiveness and accuracy of new data sources and data gathering techniques.,30+ days ago
57,Data Scientist,AirAsia,Undisclosed,4.2,"Exploratory analysis: use data to suggest and prove hypotheses.Data operations: query data, deploy models and automate pipelines in cloud.",30+ days ago
58,Data Scientist,Telenor,Undisclosed,None,Experience with large data sets and knowledge of both structured and unstructured data.Combine and analyze multiple sources of data including first party and…,30+ days ago
59,Data Scientist,RPS Group,Undisclosed,None,"Develop data processing, data management, report production, visualization and analyses solutions.You will identify what data is available and relevant,…",10 days ago
60,Data Scientist - Data Cycling Center,TikTok,Undisclosed,None,Liaise with team members and management in understanding their data needs and providing data support.Understand underlying data sources and their limitations.,16 days ago
61,Junior Data Scientist (Fresh Graduates welcomed),AkiraKan Limited,"RM 15,000 a month",None,"You will work with other data scientists, data engineers, machine learning engineers, designers and project managers on interdisciplinary projects using maths,…",9 days ago
62,Sr/Data Scientist,Nexperia Germany GmbH,Undisclosed,None,"Identify key users and train them to create more data scientists in the factory over time.Strong skill in data mining, data wrangling techniques for creating…",30+ days ago
63,Meteorologist/ Meteorological Data Scientist,AkiraKan Limited,"RM 15,000 a month",None,"You will work with experienced meteorologists, data scientists, data engineers, machine learning engineers, and project managers to improve next generation…",9 days ago
64,Data Scientist — Machine Learning across FMCG Industries.,J Recruit Recruitment Firm,"RM 6,000 - RM 10,000 a month",None,Verifying data quality OR ensuring it via data cleaning.Supervising the data acquisition process whenever more data is needed.Temporarily due to COVID-19.,25 days ago
65,Meteorologist/ Meteorological Data Scientist,AkiraKan (Marine Technology) Sdn Bhd,"RM 3,500 a month",None,"You will work with experienced meteorologists, data scientists, data engineers, machine learning engineers, and project managers to improve next generation…",30+ days ago
66,Data Analyst / Data Scientist,Intrinsik Technologies Sdn Bhd,Undisclosed,None,"As a data analyst, you will be responsible for compiling actionable insights from data and assisting program, sales and marketing managers build data-driven…",30+ days ago
67,Graduate Environmental Scientist,Jacobs,Undisclosed,3.9,"Field observations and data collection assignments and assists in the collection and analysis of data from sampling, reports, maps, drawings, tests and aerial…",16 days ago
68,Data Scientist,BASF Asia Pacific,Undisclosed,4.1,Develop custom data models and algorithms to apply to data sets.Assess the effectiveness and accuracy of new data sources and data gathering techniques.,30+ days ago
69,Data Scientist,AirAsia,Undisclosed,4.2,"Exploratory analysis: use data to suggest and prove hypotheses.Data operations: query data, deploy models and automate pipelines in cloud.",30+ days ago
70,Data Scientist,Telenor,Undisclosed,None,Experience with large data sets and knowledge of both structured and unstructured data.Combine and analyze multiple sources of data including first party and…,30+ days ago
71,Data Scientist,RPS Group,Undisclosed,None,"Develop data processing, data management, report production, visualization and analyses solutions.You will identify what data is available and relevant,…",10 days ago
72,Data Scientist - Data Cycling Center,TikTok,Undisclosed,None,Liaise with team members and management in understanding their data needs and providing data support.Understand underlying data sources and their limitations.,16 days ago
73,Junior Data Scientist (Fresh Graduates welcomed),AkiraKan Limited,"RM 15,000 a month",None,"You will work with other data scientists, data engineers, machine learning engineers, designers and project managers on interdisciplinary projects using maths,…",9 days ago
74,Sr/Data Scientist,Nexperia Germany GmbH,Undisclosed,None,"Identify key users and train them to create more data scientists in the factory over time.Strong skill in data mining, data wrangling techniques for creating…",30+ days ago
75,Meteorologist/ Meteorological Data Scientist,AkiraKan Limited,"RM 15,000 a month",None,"You will work with experienced meteorologists, data scientists, data engineers, machine learning engineers, and project managers to improve next generation…",9 days ago
76,Data Scientist — Machine Learning across FMCG Industries.,J Recruit Recruitment Firm,"RM 6,000 - RM 10,000 a month",None,Verifying data quality OR ensuring it via data cleaning.Supervising the data acquisition process whenever more data is needed.Temporarily due to COVID-19.,25 days ago
77,Meteorologist/ Meteorological Data Scientist,AkiraKan (Marine Technology) Sdn Bhd,"RM 3,500 a month",None,"You will work with experienced meteorologists, data scientists, data engineers, machine learning engineers, and project managers to improve next generation…",30+ days ago
78,Data Analyst / Data Scientist,Intrinsik Technologies Sdn Bhd,Undisclosed,None,"As a data analyst, you will be responsible for compiling actionable insights from data and assisting program, sales and marketing managers build data-driven…",30+ days ago
79,Graduate Environmental Scientist,Jacobs,Undisclosed,3.9,"Field observations and data collection assignments and assists in the collection and analysis of data from sampling, reports, maps, drawings, tests and aerial…",16 days ago
80,Data Scientist,BASF Asia Pacific,Undisclosed,4.1,Develop custom data models and algorithms to apply to data sets.Assess the effectiveness and accuracy of new data sources and data gathering techniques.,30+ days ago
81,Data Scientist,AirAsia,Undisclosed,4.2,"Exploratory analysis: use data to suggest and prove hypotheses.Data operations: query data, deploy models and automate pipelines in cloud.",30+ days ago
82,Data Scientist,Telenor,Undisclosed,None,Experience with large data sets and knowledge of both structured and unstructured data.Combine and analyze multiple sources of data including first party and…,30+ days ago
83,Data Scientist,RPS Group,Undisclosed,None,"Develop data processing, data management, report production, visualization and analyses solutions.You will identify what data is available and relevant,…",10 days ago
84,Data Scientist - Data Cycling Center,TikTok,Undisclosed,None,Liaise with team members and management in understanding their data needs and providing data support.Understand underlying data sources and their limitations.,16 days ago
85,Junior Data Scientist (Fresh Graduates welcomed),AkiraKan Limited,"RM 15,000 a month",None,"You will work with other data scientists, data engineers, machine learning engineers, designers and project managers on interdisciplinary projects using maths,…",9 days ago
86,Sr/Data Scientist,Nexperia Germany GmbH,Undisclosed,None,"Identify key users and train them to create more data scientists in the factory over time.Strong skill in data mining, data wrangling techniques for creating…",30+ days ago
87,Meteorologist/ Meteorological Data Scientist,AkiraKan Limited,"RM 15,000 a month",None,"You will work with experienced meteorologists, data scientists, data engineers, machine learning engineers, and project managers to improve next generation…",9 days ago
88,Data Scientist — Machine Learning across FMCG Industries.,J Recruit Recruitment Firm,"RM 6,000 - RM 10,000 a month",None,Verifying data quality OR ensuring it via data cleaning.Supervising the data acquisition process whenever more data is needed.Temporarily due to COVID-19.,25 days ago
89,Meteorologist/ Meteorological Data Scientist,AkiraKan (Marine Technology) Sdn Bhd,"RM 3,500 a month",None,"You will work with experienced meteorologists, data scientists, data engineers, machine learning engineers, and project managers to improve next generation…",30+ days ago
90,Data Analyst / Data Scientist,Intrinsik Technologies Sdn Bhd,Undisclosed,None,"As a data analyst, you will be responsible for compiling actionable insights from data and assisting program, sales and marketing managers build data-driven…",30+ days ago
91,Graduate Environmental Scientist,Jacobs,Undisclosed,3.9,"Field observations and data collection assignments and assists in the collection and analysis of data from sampling, reports, maps, drawings, tests and aerial…",16 days ago
92,Data Scientist,BASF Asia Pacific,Undisclosed,4.1,Develop custom data models and algorithms to apply to data sets.Assess the effectiveness and accuracy of new data sources and data gathering techniques.,30+ days ago
93,Data Scientist,AirAsia,Undisclosed,4.2,"Exploratory analysis: use data to suggest and prove hypotheses.Data operations: query data, deploy models and automate pipelines in cloud.",30+ days ago
94,Data Scientist,Telenor,Undisclosed,None,Experience with large data sets and knowledge of both structured and unstructured data.Combine and analyze multiple sources of data including first party and…,30+ days ago
95,Data Scientist,RPS Group,Undisclosed,None,"Develop data processing, data management, report production, visualization and analyses solutions.You will identify what data is available and relevant,…",10 days ago
96,Data Scientist - Data Cycling Center,TikTok,Undisclosed,None,Liaise with team members and management in understanding their data needs and providing data support.Understand underlying data sources and their limitations.,16 days ago
97,Junior Data Scientist (Fresh Graduates welcomed),AkiraKan Limited,"RM 15,000 a month",None,"You will work with other data scientists, data engineers, machine learning engineers, designers and project managers on interdisciplinary projects using maths,…",9 days ago
98,Sr/Data Scientist,Nexperia Germany GmbH,Undisclosed,None,"Identify key users and train them to create more data scientists in the factory over time.Strong skill in data mining, data wrangling techniques for creating…",30+ days ago
99,Meteorologist/ Meteorological Data Scientist,AkiraKan Limited,"RM 15,000 a month",None,"You will work with experienced meteorologists, data scientists, data engineers, machine learning engineers, and project managers to improve next generation…",9 days ago
100,Data Scientist — Machine Learning across FMCG Industries.,J Recruit Recruitment Firm,"RM 6,000 - RM 10,000 a month",None,Verifying data quality OR ensuring it via data cleaning.Supervising the data acquisition process whenever more data is needed.Temporarily due to COVID-19.,25 days ago
101,Meteorologist/ Meteorological Data Scientist,AkiraKan (Marine Technology) Sdn Bhd,"RM 3,500 a month",None,"You will work with experienced meteorologists, data scientists, data engineers, machine learning engineers, and project managers to improve next generation…",30+ days ago
102,Data Analyst / Data Scientist,Intrinsik Technologies Sdn Bhd,Undisclosed,None,"As a data analyst, you will be responsible for compiling actionable insights from data and assisting program, sales and marketing managers build data-driven…",30+ days ago
103,Data Scientist - Data Cycling Center,TikTok,Undisclosed,None,Liaise with team members and management in understanding their data needs and providing data support.Understand underlying data sources and their limitations.,16 days ago
104,Junior Data Scientist (Fresh Graduates welcomed),AkiraKan Limited,"RM 15,000 a month",None,"You will work with other data scientists, data engineers, machine learning engineers, designers and project managers on interdisciplinary projects using maths,…",9 days ago
105,Sr/Data Scientist,Nexperia Germany GmbH,Undisclosed,None,"Identify key users and train them to create more data scientists in the factory over time.Strong skill in data mining, data wrangling techniques for creating…",30+ days ago
106,Meteorologist/ Meteorological Data Scientist,AkiraKan Limited,"RM 15,000 a month",None,"You will work with experienced meteorologists, data scientists, data engineers, machine learning engineers, and project managers to improve next generation…",9 days ago
107,Data Scientist — Machine Learning across FMCG Industries.,J Recruit Recruitment Firm,"RM 6,000 - RM 10,000 a month",None,Verifying data quality OR ensuring it via data cleaning.Supervising the data acquisition process whenever more data is needed.Temporarily due to COVID-19.,25 days ago
108,Meteorologist/ Meteorological Data Scientist,AkiraKan (Marine Technology) Sdn Bhd,"RM 3,500 a month",None,"You will work with experienced meteorologists, data scientists, data engineers, machine learning engineers, and project managers to improve next generation…",30+ days ago
109,Data Analyst / Data Scientist,Intrinsik Technologies Sdn Bhd,Undisclosed,None,"As a data analyst, you will be responsible for compiling actionable insights from data and assisting program, sales and marketing managers build data-driven…",30+ days ago
110,Graduate Environmental Scientist,Jacobs,Undisclosed,3.9,"Field observations and data collection assignments and assists in the collection and analysis of data from sampling, reports, maps, drawings, tests and aerial…",16 days ago
111,Data Scientist,BASF Asia Pacific,Undisclosed,4.1,Develop custom data models and algorithms to apply to data sets.Assess the effectiveness and accuracy of new data sources and data gathering techniques.,30+ days ago
112,Data Scientist,AirAsia,Undisclosed,4.2,"Exploratory analysis: use data to suggest and prove hypotheses.Data operations: query data, deploy models and automate pipelines in cloud.",30+ days ago
113,Data Scientist,Telenor,Undisclosed,None,Experience with large data sets and knowledge of both structured and unstructured data.Combine and analyze multiple sources of data including first party and…,30+ days ago
114,Data Scientist,RPS Group,Undisclosed,None,"Develop data processing, data management, report production, visualization and analyses solutions.You will identify what data is available and relevant,…",10 days ago
115,Data Scientist - Data Cycling Center,TikTok,Undisclosed,None,Liaise with team members and management in understanding their data needs and providing data support.Understand underlying data sources and their limitations.,16 days ago
116,Junior Data Scientist (Fresh Graduates welcomed),AkiraKan Limited,"RM 15,000 a month",None,"You will work with other data scientists, data engineers, machine learning engineers, designers and project managers on interdisciplinary projects using maths,…",9 days ago
117,Sr/Data Scientist,Nexperia Germany GmbH,Undisclosed,None,"Identify key users and train them to create more data scientists in the factory over time.Strong skill in data mining, data wrangling techniques for creating…",30+ days ago
118,Meteorologist/ Meteorological Data Scientist,AkiraKan Limited,"RM 15,000 a month",None,"You will work with experienced meteorologists, data scientists, data engineers, machine learning engineers, and project managers to improve next generation…",9 days ago
119,Data Scientist — Machine Learning across FMCG Industries.,J Recruit Recruitment Firm,"RM 6,000 - RM 10,000 a month",None,Verifying data quality OR ensuring it via data cleaning.Supervising the data acquisition process whenever more data is needed.Temporarily due to COVID-19.,25 days ago
120,Meteorologist/ Meteorological Data Scientist,AkiraKan (Marine Technology) Sdn Bhd,"RM 3,500 a month",None,"You will work with experienced meteorologists, data scientists, data engineers, machine learning engineers, and project managers to improve next generation…",30+ days ago
121,Data Analyst / Data Scientist,Intrinsik Technologies Sdn Bhd,Undisclosed,None,"As a data analyst, you will be responsible for compiling actionable insights from data and assisting program, sales and marketing managers build data-driven…",30+ days ago
122,Graduate Environmental Scientist,Jacobs,Undisclosed,3.9,"Field observations and data collection assignments and assists in the collection and analysis of data from sampling, reports, maps, drawings, tests and aerial…",16 days ago
123,Data Scientist,BASF Asia Pacific,Undisclosed,4.1,Develop custom data models and algorithms to apply to data sets.Assess the effectiveness and accuracy of new data sources and data gathering techniques.,30+ days ago
124,Data Scientist,AirAsia,Undisclosed,4.2,"Exploratory analysis: use data to suggest and prove hypotheses.Data operations: query data, deploy models and automate pipelines in cloud.",30+ days ago
125,Data Scientist,Telenor,Undisclosed,None,Experience with large data sets and knowledge of both structured and unstructured data.Combine and analyze multiple sources of data including first party and…,30+ days ago
126,Data Scientist,RPS Group,Undisclosed,None,"Develop data processing, data management, report production, visualization and analyses solutions.You will identify what data is available and relevant,…",10 days ago
